,Unnamed: 0,AIN,TRA,Admin Region No,Common Area KY,Yr Sold to State,Recording Date,LAND Value,Improvement Value,GPP KY,Exmpt Claim Type KY,GPP Value,Fixture Value,Real Est Exmpt Value,PP Exmpt Value,Fixture Exmpt Value,Hmownr Exmpt Value,1st Owner Assee Name,1st Owner Name Overflow,2nd Owner Assee Name,Special Name Assee,SA KY,SA Date of Last Chng,SA Postal City Cde,SA House Number,SA Fraction,SA Direction,SA Unit,SA ZIP Cde,SA Street Name,SA City and State,MAO KY,MAO Date Of Last Chng,MAO Postal City Cde,MA House Number,MA Fraction,MA Direction,MA Unit,MA ZIP Cde,MA Street Name,MA City and State,LDLL Narative,LDLL Lot,LDLL Division,LDLL Region,LD Line1,LD Line2,LD Line3,LD Line4,LD Line 5,Zoning Code,Use Cde,Effective Yr,YR Built,Built SQ FT Main
525,525,2647014007,16,24,0,0,19670526,36838,124039,ÿ,5,0,0,160877,0,0,0,NEW APOSTOLIC CHURCH OF,NORTH AMERICA,,,D,19730210,50,10160,,,,91345,WOODMAN AVE,LOS ANGELES CA,F,20060329,0,3753,,N,,60618,TROY ST,CHICAGO IL,ON E IN,16,2N,15.0,SUB NO 1 OF THE PROPERTY OF THE PORTER,LAND AND WATER CO LOT COM AT INTER-,SECTION OF E  PROLONGATION OF N LINE OF,LOT 43 IN SEC 16 T 2N R 15W WITH E LINE,OF WOODMAN AVE TH S ON SD E LINE TO A,LAR1,7100,1972,1972,2880
564,564,2692008007,16,24,0,0,19680329,121306,2940108,ÿ,5,0,0,3061414,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF,L D S,,D,19950605,63,17101,,,,91325,PLUMMER ST,LOS ANGELES CA,F,20070320,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,A,,,*PARCEL MAP AS PER BK 152 P 68-69 OF P M,,,,,LARA,7100,0,0,0
570,570,2711017019,16,24,0,0,19570411,149096,1485992,ÿ,5,0,0,1635088,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,GRANADA HILLS 2ND NORTHRIDGE WDS,RE:501-8579,D,19950605,80,11315,,,,91344,WHITE OAK AVE,LOS ANGELES CA,F,20070124,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,3,,,TRACT NO 22943 LOTS 2 AND,,,,,LARA,7100,0,0,0
578,578,2726023001,16,24,0,0,19740000,242306,2080858,ÿ,5,0,0,2323164,0,0,0,CORP OF PRESIDING BISHOP OF CH,OF JESUS CHRIST OF L D S,,RE:501-4286,D,19950605,17,10123,,,,91311,OAKDALE AVE,LOS ANGELES CA,F,19970807,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,1,,,TRACT NO 25002   (EX OF ST),,,,,LARE11,7100,1971,1971,24324
615,615,2806015058,699,24,0,0,19720107,215887,2071171,ÿ,5,0,0,2287058,0,0,0,CORP OF PRESIDING BISHOP OF,CH OF JESUS CHRIST OF L D S,,RE:512-9044,D,19950605,85,19513,,,,91351,DRYCLIFF ST,SANTA CLARITA CA,F,20070129,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,*TR=34154,25,,,,,,,,SCUR2,7100,0,0,0
616,616,2808021003,908,24,0,0,19761230,199050,2289619,ÿ,5,0,0,2488669,0,0,0,CORP OF THE PRESIDING BISHOP OF,CH OF JESUS CHRIST OF L D S,,RE:515-6386,D,19950605,85,27405,,,,91350,BOUQUET CANYON RD,SANTA CLARITA CA,F,20070130,0,50,,E,,84150,NORTH TEMPLE ST,SALT LAKE CITY UT,SW 1/4 OF,12,4N,16.0,*LOT COM AT INTERSECTION OF NW LINE OF,SEE ASSESSOR MAPBOOK FOR MISSING PORTION,,,,SCUR2,7100,0,0,0
617,617,2810041039,14087,24,0,0,19960327,2186367,1760878,ÿ,5,0,0,3947245,0,0,0,CORP OF BISHOP OF THE CHURCH OF,JESUS CHRIST LATTER DAY SAINTS,,,D,20090811,85,27827,,,,91354,SKYCREST CIRCLE,VALENCIA CA,F,20000118,0,50,,E,22 FLR,84150,NORTH TEMPLE,SALT LAKE CITY UT,TR=51965 LOT 1,,,,,,,,,SCUR2,7100,1999,1999,16712
620,620,2812005045,1273,24,0,0,19871117,274083,222335,ÿ,5,0,0,496418,0,0,0,NATIONAL ORGANIZATION OF THE NEW,APOSTOLIC CHURCH,,,D,20011218,85,28877,,,,91390,BOUQUET CANYON RD,SAUGUS CA,F,20070209,0,3753,,N,,60618,TROY ST,CHICAGO IL,1/4 OF SW 1/4 OF SEC 5 T4N R15W,,,,FOR DESC SEE ASSESSOR'S MAPS POR OF NW,,,,,LCA11*,7100,1994,1994,2515
629,629,2830035001,223,24,0,0,19571024,69154,1674427,ÿ,5,0,0,1743581,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,NEWHALL WARD,RE:501-9168,D,19950605,61,24915,,,,91321,PEACHLAND AVE,SANTA CLARITA CA,F,20070308,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,33,,,TRACT # 1437 THAT PART EX OF STS E OF N,PROLONGATION OF C/L OF PARCHMAN AVE OF,,,,SCUR2,7100,1967,1966,18540
655,655,2861005082,935,24,0,0,19861223,1919585,2761512,ÿ,5,0,0,4681097,0,0,0,CHURCH OF JESUS CHRIST,LATER-DAY SAINTS,,,D,19970603,61,24443,,,,91355,MCBEAN PKWY,SANTA CLARITA CA,F,20150916,0,50,,E,22ND FLR,84150,N TEMPLE,SALT LAKE CITY UT,TR=44395,1,,,,,,,,SCUR1,7100,1988,1988,21198
665,665,3003029038,8557,24,0,0,19900327,737938,1667238,ÿ,5,0,0,2405176,0,0,0,CHURCH OF JESUS CHRIST OF,LATTER DAY SAINTS,,,D,19970603,68,39546,,,,93551,23RD ST W,PALMDALE CA,F,20150916,0,50,,E,22ND FL,84150,NORTH TEMPLE,SALT LAKE CITY UT,SEC 20 T6N R12W,,,,POR OF NE 1/4 OF NW 1/4 OF NE 1/4 OF,,,,,LCA22*,7100,1994,1994,16256
666,666,3003029039,8557,24,0,0,19900327,269937,1667238,ÿ,5,0,0,1937175,0,0,0,CORP OF THE PRESIDING BISHOP OF,THE CHURCH OF J CHRIST OF LDS,,,D,19971104,68,39546,,,,93551,23RD ST W,PALMDALE CA,F,20150916,0,50,,E,22ND FL,84150,NORTH TEMPLE,SALT LAKE CITY UT,1/4 OF SEC 20 T6N   R12W,,,,POR OF SW 1/4 OF NE 1/4 OF NW 1/4 OF NE,,,,,LCA22*,7100,1994,1994,16256
688,688,3015014042,15581,24,0,0,20110110,28678,182359,ÿ,5,0,0,211037,0,0,0,UNIVERSAL CHURCH INC,,,,D,19940609,68,38678,,,,93550,15TH ST E,PALMDALE CA,F,20131221,0,247,,,,7105,WALNUT ST,NEWARK NJ,OF W 189.04 FT EX OF ST OF LOT 4,,,,TR=7682 S 225.1775 FT OF N 300.355 FT,,,,,LCR17000*,7100,0,0,0
689,689,3015014043,15576,24,0,0,20110110,31168,179654,ÿ,8,0,0,198353,0,0,0,UNIVERSAL CHURCH INC,,,,D,19981222,68,38678,,,,93550,15TH ST E,PALMDALE CA,F,20131221,0,247,,,,7105,WALNUT ST,NEWARK NJ,OF E 189.04 FT OF LOT 4,,,,TR=7682 S 225.1775 FT OF N 300.355 FT,,,,,LCR17000*,7100,1965,1960,6412
698,698,3019001018,7332,24,0,0,19611023,37878,924695,ÿ,5,0,0,962573,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,PALMDALE WARD,RE:501-8048,D,20001231,68,2120,,E,,93550,AVENUE R,PALMDALE CA,F,20070122,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,LOT 4 IN SEC 31,,,,A PORTION OF PALMDALE COLONY LANDS T 6N,R 11W LOT EX OF ST COM E 722.41 FT FROM,NW COR OF LOT 4 IN SEC 31 TH E 337.51 FT,WITH A UNIFORM DEPTH OF 570 FT S PART OF,,PDR1*,7100,1963,1963,22280
699,699,3019014032,3340,24,0,0,20121119,158925,3439706,ÿ,ÿ,0,0,0,0,0,0,FOUNDATION CAPITAL RESOURCES INC,,,,D,20130926,0,37419,,,,93550,25TH ST EAST,PALMDALE CA,F,20130430,0,3900,,S,,65807,OVERLAND AVE,SPRINGFIELD MO,LOT 27 OF SEC 31 T6NR11W,,,,MR 11-11-12 VAC ST ADJ ON S AND POR OF,,,,,PDR1,7100,2011,2011,17504
702,702,3020006011,7080,24,0,0,20150130,76143,111677,ÿ,ÿ,0,0,0,0,0,0,SOUTHWEST ROCKY MOUNTAIN,CONFERENCE AFRICAN CHURCH,,C/O BISHOP W DARIN MOORE,D,20061210,68,3205,,E,,93550,AVENUE   S,PALMDALE CA,F,20150310,0,7107,,,,27358,HENSON FARM WAY,SUMMERFIELD NC,EX OF ST OF,32,6N,11.0,E 82.5 FT OF S 1/2 OF SW 1/4 OF SW 1/4,,,,,LCRA7000*,7100,1956,1956,1649
723,723,3046021033,4687,24,0,0,19770817,59876,1914677,ÿ,5,0,0,1974553,0,0,0,CORPORATION PRESIDING BISHOP CH,JESUS CHRIST LATTER DAY SAINTS,,,D,19980415,46,35248,,,,93543,87TH ST E,LITTLEROCK CA,F,20060419,0,50,,E,,84150,N TEMPLE,SALT LAKE CITY UT,TR=23397 EX OF ST LOT 40,,,,,,,,,LCC3-P*,7100,1981,1981,11957
756,756,3112001003,6122,24,0,0,19730423,19441,201294,7,4,10000,0,220735,10000,0,0,CORP OF THE PRES OF L A CALIF E,STAKE OF JESUS CHRIST LDS,,,D,19970502,42,3134,,W,,93536,AVENUE K,LANCASTER CA,F,20060509,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,2,,,LARSON TR   E 151.33 FT OF W 390 FT,OF S 377 FT OF N 387 FT OF,,,,LRRA10000*,7100,1974,1973,4536
757,757,3112001087,6122,24,0,0,19610518,65100,1832710,ÿ,5,0,0,1897810,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,RE:513-3130 AND 514-0137,D,19970502,42,3144,,W,,93536,AVENUE K,LANCASTER CA,F,20060509,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,151.33 FT OF W 390 FT OF S 258 FT LOT 2,,,,LARSON TR W 238.67 FT EX OF STS AND E,,,,,LRRA10000*,7100,0,0,0
761,761,3121035089,12760,24,0,0,19850425,147095,2565937,ÿ,5,0,0,2713032,0,0,0,CORP OF THE PRESIDING BISHOP OF,DAY SAINTS,,C/O TAX DIV 22 FLR RE:528-4800,D,20010522,42,1701,,W,,93534,LANCASTER BLVD,LANCASTER CA,F,19970513,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,LOT 2,,,,P M 326-54-55 THAT POR IN TRA 12760 OF,,,,,LRRA7000*,7100,1990,1989,14720
779,779,3132009016,5438,24,0,0,20140722,101525,2030500,ÿ,4,0,0,2132025,0,0,0,SKS VENTURES LLC,,,,D,20070513,42,44339,,,,93534,BEECH AVE,LANCASTER CA,F,20140826,0,16360,,,,80403,TABLE MOUNTAIN PKWY,GOLDEN CO,1/2 OF NE 1/4 OF SEC 22 T7N R12W,,,,FOR DESC SEE ASSESSOR'S MAPS POR OF N,,,,,LRR2*,7100,0,0,0
793,793,3140003006,5850,24,0,0,19700000,23580,1418107,ÿ,5,0,0,1441687,0,0,0,CORP OF PRESIDING BISHOP OF,CH OF JESUS CHRIST OF L D S,,RE#501-7696,D,19970603,42,750,,E,,93535,AVENUE J,LANCASTER CA,F,20060515,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,23,7N,12.0,LOT COM AT INTERSECTION OF E LINE OF,W 1/2 OF NW 1/4 OF NE 1/4 OF NE 1/4 OF,SEC 23 T 7N R 12W WITH N LINE OF S 1/2,OF NE 1/4 OF NE 1/4 OF SD SEC TH E ON SD,N LINE TO A LINE PARALLEL WITH AND DIST,LRR7000*,7100,1969,1969,19644
807,807,3150030015,14293,24,0,0,19880609,270004,4712353,ÿ,5,0,0,4982357,0,0,0,CHURCH OF JESUS CHRIST OF,LATTER DAY SAINTS,,LDS CHURCH TAX ADMINISTRATION,D,19950605,42,44330,,,,93536,27TH ST W,LANCASTER CA,F,20130201,0,50,,E,22 FL,84150,NORTH TEMPLE,SALT LAKE CITY UT,1/4 OF SEC 19 T7N R11W,,,,FOR DESC SEE ASSESSOR'S MAPS POR OF NE,,,,,LRA22*,7100,1992,1992,25162
824,824,3205028032,9552,24,0,0,19820916,239960,1602923,ÿ,8,0,0,1708264,0,0,0,CORP OF PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,C/O CHURCH TAX DIV 22 FL,D,19950605,68,9044,,,,93551,LEONA AVE,LEONA VALLEY CA,F,20060614,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,S LINE) OF,35,,,TR=5148*W 328 FT (EX OF ST) (MEASURED ON,,,,,LCA11*,7100,1989,1985,12572
829,829,3214025028,8919,24,0,0,20140228,126334,380247,ÿ,ÿ,0,0,0,0,0,0,SINERGIA USA LIMITED LP,,,,D,20011218,85,13136,,,,91390,SIERRA HWY,SAUGUS CA,E,0,0,0,,,,79604,PO BOX 2473,ABILENE TX,,64,,,"TRACT NO 7773 LOTS 51,52,53,54,55,56,57,","58,59,60,61,62,63 AND",,,,LCC4-R3*,7100,1951,1951,4744
831,831,3216021010,8925,24,0,0,19820910,42353,2294044,ÿ,5,0,0,2336397,0,0,0,CORP OF PRESIDING BISHOP OF CH,OF JESUS CHRIST OF L D S,,LDS CHURCH REAL EST DIV,D,20011218,85,35450,,,,91390,PENMAN RD,AGUA DULCE CA,F,20111103,0,50,,,,84150,NORTH TEMPLE,SALT LAKE CITY UT,PM 212-15-16 LOT 1,,,,,,,,,LCA11*,7100,1985,1985,13193
832,832,3217018026,8916,24,0,0,20110916,477466,159154,ÿ,ÿ,0,0,0,0,0,0,"CHARBONNEAU,DAN",,,,D,19970603,1,4519,,,,93510,SIERRA HWY,ACTON CA,F,20111101,0,31776,,,,83660,SCOTT PIT RD,PARMA ID,SW 1/4 OF SEC 23 T5N R13W,,,,"LAND DESC IN DOC 1366406,960822 POR OF",,,,,LCC2-A11*,7100,1953,1949,2333
847,847,3363013032,271,24,0,0,19641007,13849,1886792,ÿ,5,0,0,1900641,0,0,0,CORP OF THE PRESIDING BISHOP OF,THE CHURCH OF JESUS CHRIST LDS,,,D,20001113,42,41535,,,,93535,170TH ST E,LANCASTER CA,F,20060327,0,50,,E,,84150,N TEMPLE ST,SALT LAKE CITY UT,1/4 OF SE 1/4 OF SEC 4 T 6N R 9W,,,,FOR DESC SEE ASSESSOR'S MAPS*POR OF NE,,,,,LCA11*,7100,1986,1986,14841
881,881,4015009007,4569,25,0,0,19670145,79505,190518,ÿ,5,0,0,270023,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,INGLEWOOD WARD,RE:#500-4101,D,19950605,35,400,,,,90302,CENTINELA AVE,INGLEWOOD CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,59,,,TRACT # 4242 LOTS 58 AND,,,,,INR3*,7100,1939,1938,9990
950,950,4044010022,10788,14,0,0,19891120,342769,1743743,ÿ,5,0,0,2086512,0,0,0,CORPORATION OF THE PRESIDING,BISHOP OF THE CHURCH OF JESUS,,TAX ADMINSTRATION,D,19950605,32,4540,,W,,90250,115TH ST,HAWTHORNE CA,F,20100603,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,AND N 10 FT OF LOT 146,,,,MB 9-77 E 10 FT OF N 10 FT OF LOT 145,,,,,HAR3YY,7100,0,0,0
984,984,4067007001,1490,26,0,0,19670145,211223,120564,7,4,5000,0,331787,5000,0,0,CORP OF THE PRES OF L A CALIF E,STAKE CH OF JESUS CHRIST LDS,,,D,19950605,28,15932,,,,90249,CRENSHAW BLVD,GARDENA CA,F,20060323,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,OF,26,3S,14.0,LOT COM AT NW COR OF LOT 12 TR # 16699,TH W 229.96 FT TH N 0›02' W 99.06 FT TH,E TO A PT N 0›04' W 99.06 FT FROM BEG TH,S 0›04' E TO BEG PART OF LOT 3 IN NW 1/4,,GAC3,7100,1959,1959,5558
991,991,4077018037,5164,14,0,0,19811204,583086,1033972,ÿ,5,0,0,1617058,0,0,0,CHURCH OF JESUS CHRIST OF,LATTER-DAY SAINTS,,C/O LOS CHURCH R E DIV,D,19950605,45,14715,,,,90260,OSAGE AVE,LAWNDALE CA,F,20100603,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,M B 10-122 LOTS 12 THRU 15 BLK 36,,,,,,,,,LNR2YY,7100,0,0,0
1012,1012,4096002045,9340,26,0,0,19660000,851236,3422295,ÿ,5,0,0,4273531,0,0,0,CORP OF THE PRESIDING BISHOP OF,CH OF JESUS CHRIST OF L D S,GARDENA WARD,,D,19950605,94,2000,,,,90504,ARTESIA BLVD,TORRANCE CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,66,,,MCDONALD TRACT SAN PEDRO RANCHO 4.67,MORE OR LESS ACS BEING EX OF ST E,328.64 FT OF N 645.49 FT OF,,,TOMC-GEN,7100,1986,1986,25092
1051,1051,4139021018,3710,14,0,0,19680617,174989,710390,ÿ,5,0,0,885379,0,0,0,CORP OF THE PRESIDING BISHOP,CHURCH OF JESUS CHRIST L D S,,RE:510-8772,D,19950605,26,1215,,E,,90245,MARIPOSA AVE,EL SEGUNDO CA,F,20100603,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,8,115,,EL SEGUNDO EX OF ST,,,,,ESR2*,7100,1971,1971,13401
